Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Belair Rd,270902,24510270902,"5,091",$64028.00,$22780.00,323,630.00%,430.00%,1965.0,218.0,811.0,461.0,31.3,271.0,4453.0,214.0,86.0,33.0,3074.0,1219.0,206.0,669.0,3468.0,954.0
Penn Ave,270903,24510270903,"5,241",$49327.00,$23229.00,436,830.00%,420.00%,1969.0,218.0,546.0,396.0,22.3,1168.0,3784.0,127.0,583.0,117.0,1479.0,732.0,549.0,538.0,4291.0,412.0
Hamilton Lauraville,271002,24510271002,"4,250",$40147.00,$20655.00,"1,622",3820.00%,560.00%,1420.0,237.0,696.0,374.0,35.6,247.0,3924.0,73.0,212.0,0.0,2577.0,972.0,526.0,1299.0,2234.0,717.0
Highlandtown,271101,24510271101,"1,928",$51765.00,$38503.00,413,2140.00%,350.00%,934.0,67.0,285.0,304.0,45.0,1015.0,636.0,64.0,11.0,177.0,871.0,361.0,519.0,300.0,1363.0,265.0
Hampden,271102,24510271102,"4,597",$195156.00,$30978.00,18,40.00%,140.00%,1477.0,65.0,76.0,216.0,20.5,2899.0,1023.0,278.0,244.0,339.0,1156.0,426.0,15.0,293.0,4052.0,252.0
E Monument St,271200,24510271200,"6,282",$165443.00,$72260.00,359,570.00%,60.00%,3140.0,39.0,481.0,1193.0,42.8,5110.0,563.0,253.0,133.0,341.0,5180.0,1784.0,359.0,1559.0,3677.0,1046.0
Greektown,271300,24510271300,"2,455",$154313.00,$94818.00,36,150.00%,90.00%,1554.0,21.0,37.0,611.0,40.9,2066.0,124.0,32.0,82.0,207.0,1787.0,714.0,323.0,535.0,1470.0,450.0
Hamilton Lauraville,271400,24510271400,"4,015",$133333.00,$76059.00,234,580.00%,120.00%,1995.0,48.0,132.0,570.0,38.5,3207.0,260.0,151.0,289.0,322.0,2668.0,1019.0,421.0,794.0,2464.0,757.0
Belair Rd,271501,24510271501,"4,161",$104375.00,$56716.00,269,650.00%,220.00%,2110.0,93.0,182.0,763.0,38.7,3265.0,690.0,82.0,206.0,77.0,2902.0,1119.0,646.0,1034.0,2426.0,701.0
E Monument St,271503,24510271503,876,$56490.00,$70175.00,38,430.00%,160.00%,399.0,14.0,66.0,273.0,62.8,617.0,114.0,26.0,29.0,104.0,675.0,512.0,165.0,62.0,425.0,389.0
Park Heights,271600,24510271600,"4,066",$31361.00,$19067.00,"1,135",2790.00%,840.00%,1316.0,341.0,1217.0,264.0,38.8,133.0,3788.0,43.0,31.0,76.0,1790.0,542.0,895.0,711.0,2443.0,912.0
