Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Penn Ave,150800,24510150800,5202.0,36853.0,23774.0,1193.0,22.9,6.2,1884.0,320.0,1423.0,412.0,39.4,39.0,5018.0,92.0,70.0,0.0,3055.0,859.0,1003.0,1115.0,3284.0,803.0,2018
Park Heights,151300,24510151300,4127.0,29816.0,15081.0,1151.0,27.9,8.1,1462.0,334.0,1001.0,161.0,40.2,293.0,3670.0,133.0,227.0,28.0,1407.0,496.0,1013.0,881.0,2818.0,428.0,2018
Penn Ave,160100,24510160100,2068.0,26557.0,17799.0,647.0,31.3,4.1,794.0,85.0,425.0,72.0,48.3,45.0,1985.0,12.0,20.0,6.0,726.0,243.0,676.0,468.0,1291.0,309.0,2018
Penn Ave,160200,24510160200,2189.0,26792.0,16662.0,875.0,40.0,5.1,732.0,112.0,527.0,37.0,28.1,16.0,2159.0,9.0,25.0,0.0,799.0,294.0,531.0,774.0,1154.0,261.0,2018
Penn Ave,160400,24510160400,2331.0,26552.0,12758.0,1096.0,47.0,4.9,764.0,114.0,460.0,23.0,30.5,33.0,2259.0,12.0,0.0,4.0,683.0,277.0,393.0,806.0,1261.0,264.0,2018
Pimlico,160600,24510160600,3403.0,40038.0,20860.0,1003.0,29.5,2.2,1308.0,75.0,873.0,194.0,38.9,73.0,3190.0,31.0,69.0,17.0,1543.0,472.0,648.0,832.0,2198.0,373.0,2018
Pigtown,160700,24510160700,4324.0,36346.0,17660.0,1464.0,33.9,6.7,1736.0,290.0,1065.0,234.0,31.8,28.0,4278.0,18.0,44.0,0.0,1718.0,640.0,866.0,1092.0,2758.0,474.0,2018
Waverly,170100,24510170100,1634.0,30702.0,26136.0,380.0,23.3,2.5,903.0,41.0,152.0,234.0,34.7,496.0,1088.0,13.0,40.0,16.0,206.0,118.0,808.0,214.0,1241.0,179.0,2018
Penn Ave,170200,24510170200,2971.0,13643.0,10173.0,1547.0,52.1,4.4,840.0,132.0,586.0,93.0,27.9,196.0,2654.0,72.0,7.0,49.0,265.0,57.0,1288.0,988.0,1608.0,375.0,2018
Penn Ave,170300,24510170300,1699.0,20880.0,23575.0,605.0,35.6,5.1,710.0,87.0,192.0,141.0,38.1,27.0,1568.0,42.0,42.0,45.0,561.0,274.0,515.0,337.0,1110.0,252.0,2018
Greektown,180100,24510180100,2025.0,14583.0,10228.0,1102.0,54.4,7.8,588.0,157.0,458.0,14.0,28.2,7.0,1991.0,0.0,20.0,0.0,180.0,92.0,859.0,676.0,1177.0,172.0,2018
Penn Ave,180200,24510180200,948.0,20938.0,20325.0,298.0,31.4,6.2,368.0,59.0,138.0,70.0,39.9,108.0,816.0,11.0,33.0,13.0,303.0,96.0,269.0,160.0,592.0,196.0,2018
Pigtown,180300,24510180300,1525.0,37273.0,34495.0,471.0,30.9,3.2,1020.0,49.0,280.0,220.0,30.3,589.0,836.0,63.0,55.0,37.0,540.0,279.0,493.0,152.0,1348.0,25.0,2018
North Ave,190300,24510190300,2502.0,23750.0,12517.0,1027.0,41.0,5.5,711.0,138.0,457.0,93.0,29.1,613.0,1482.0,10.0,294.0,102.0,480.0,203.0,615.0,780.0,1519.0,203.0,2018
E Monument St,200300,24510200300,1517.0,23542.0,13010.0,646.0,42.6,8.2,368.0,124.0,257.0,56.0,29.7,366.0,907.0,130.0,53.0,23.0,364.0,118.0,379.0,491.0,931.0,95.0,2018
Penn Ave,200600,24510200600,2292.0,31991.0,18070.0,379.0,16.5,9.3,932.0,214.0,569.0,58.0,34.3,645.0,1477.0,150.0,87.0,0.0,1083.0,446.0,355.0,507.0,1500.0,285.0,2018
North Ave,200701,24510200701,4905.0,36164.0,18691.0,1225.0,25.0,10.9,1642.0,534.0,1027.0,118.0,35.9,108.0,4775.0,16.0,96.0,0.0,2111.0,870.0,938.0,1134.0,2948.0,823.0,2018
Irvington,200702,24510200702,1089.0,42179.0,17836.0,350.0,32.1,2.3,458.0,25.0,270.0,39.0,46.0,21.0,1057.0,11.0,0.0,0.0,678.0,267.0,130.0,275.0,633.0,181.0,2018
Irvington,200800,24510200800,2128.0,40789.0,19553.0,564.0,26.5,4.0,794.0,85.0,380.0,102.0,37.9,186.0,1841.0,49.0,70.0,0.0,1210.0,448.0,342.0,551.0,1328.0,249.0,2018
Pigtown,210100,24510210100,2532.0,63558.0,30254.0,433.0,17.1,8.1,1442.0,206.0,275.0,435.0,31.1,743.0,1683.0,23.0,38.0,70.0,787.0,398.0,569.0,511.0,1862.0,159.0,2018
Pigtown,210200,24510210200,3493.0,41037.0,27955.0,1043.0,29.9,6.1,1617.0,214.0,533.0,451.0,33.8,1277.0,1674.0,237.0,299.0,103.0,1736.0,677.0,659.0,751.0,2432.0,310.0,2018
Park Heights,230100,24510230100,1828.0,71287.0,43238.0,290.0,15.9,3.1,1111.0,56.0,183.0,449.0,30.1,1210.0,540.0,13.0,60.0,39.0,735.0,315.0,486.0,302.0,1431.0,95.0,2018
Hamilton Lauraville,230200,24510230200,2044.0,109286.0,61252.0,183.0,9.0,0.9,1484.0,18.0,82.0,607.0,30.8,1773.0,137.0,69.0,154.0,65.0,972.0,465.0,489.0,191.0,1653.0,200.0,2018
Penn Ave,240100,24510240100,3289.0,129508.0,80899.0,135.0,4.1,1.3,2338.0,42.0,132.0,1102.0,33.6,3005.0,90.0,17.0,87.0,99.0,2138.0,1027.0,586.0,484.0,2615.0,190.0,2018
Irvington,240400,24510240400,2669.0,103250.0,51469.0,55.0,2.1,1.6,1840.0,42.0,275.0,820.0,30.8,2580.0,11.0,21.0,110.0,21.0,1536.0,695.0,444.0,308.0,2159.0,202.0,2018
